sequence_name,dominant_background,dominant_foreground
127_hours_2000_2010_1,Black,Black
127_hours_2000_2010_1,Grey,Black
127_hours_2000_2010_1,Black,Black
127_hours_2000_2010_1,Black,Black
127_hours_2000_2010_1,Black,Black
127_hours_2182_2192_5,Black,Black
127_hours_2182_2192_5,Black,Yellow
127_hours_2182_2192_5,Black,Yellow
127_hours_2182_2192_5,Brown,Yellow
127_hours_2182_2192_5,Brown,Yellow
127_hours_271_281_1,Brown,Yellow
127_hours_271_281_1,Brown,Brown
127_hours_271_281_1,White,White
127_hours_271_281_1,Brown,Brown
127_hours_271_281_1,Yellow,Brown
127_hours_285_295_2,Brown,Brown
127_hours_285_295_2,Brown,Brown
127_hours_285_295_2,Brown,Brown
127_hours_285_295_2,Teal,Black
127_hours_285_295_2,Teal,Black
127_hours_328_338_3,White,Brown
127_hours_328_338_3,Yellow,Brown
127_hours_328_338_3,Brown,Black
127_hours_328_338_3,Teal,Brown
127_hours_328_338_3,Yellow,Brown
127_hours_4524_4534_7,Grey,Brown
127_hours_4524_4534_7,Grey,Grey
127_hours_4524_4534_7,Black,Black
127_hours_4524_4534_7,Black,Brown
127_hours_4524_4534_7,Grey,Black
127_hours_921_931_4,Black,Black
127_hours_921_931_4,Black,Black
127_hours_921_931_4,Brown,Brown
127_hours_921_931_4,Brown,Black
127_hours_921_931_4,Brown,Black
2001_A_Space_Odyssey_1110_1120_4,Black,White
2001_A_Space_Odyssey_1110_1120_4,Black,White
2001_A_Space_Odyssey_1110_1120_4,Black,White
2001_A_Space_Odyssey_1110_1120_4,Black,White
2001_A_Space_Odyssey_1110_1120_4,Black,White
2001_A_Space_Odyssey_1205_1215_5,Black,White
2001_A_Space_Odyssey_1205_1215_5,Black,Black
2001_A_Space_Odyssey_1205_1215_5,Black,Black
2001_A_Space_Odyssey_1205_1215_5,Black,Black
2001_A_Space_Odyssey_1205_1215_5,Black,Black
2001_A_Space_Odyssey_1484_1494_1,Black,Black
2001_A_Space_Odyssey_1484_1494_1,Black,Black
2001_A_Space_Odyssey_1484_1494_1,Black,Black
2001_A_Space_Odyssey_1484_1494_1,Black,Black
2001_A_Space_Odyssey_1484_1494_1,Black,Black
2001_A_Space_Odyssey_1708_1718_6,Black,Black
2001_A_Space_Odyssey_1708_1718_6,Black,Black
2001_A_Space_Odyssey_1708_1718_6,Black,Black
2001_A_Space_Odyssey_1708_1718_6,Black,Black
2001_A_Space_Odyssey_1708_1718_6,Black,Black
2001_A_Space_Odyssey_2760_2770_2,Black,Black
2001_A_Space_Odyssey_2760_2770_2,Black,Black
2001_A_Space_Odyssey_2760_2770_2,Black,Black
2001_A_Space_Odyssey_2760_2770_2,Black,Black
2001_A_Space_Odyssey_2760_2770_2,Black,Black
2001_A_Space_Odyssey_4123_4133_7,Black,Black
2001_A_Space_Odyssey_4123_4133_7,Black,Black
2001_A_Space_Odyssey_4123_4133_7,Black,Black
2001_A_Space_Odyssey_4123_4133_7,Black,Black
2001_A_Space_Odyssey_4123_4133_7,Black,Black
2001_A_Space_Odyssey_770_780_2,Black,Black
2001_A_Space_Odyssey_770_780_2,Black,White
2001_A_Space_Odyssey_770_780_2,Black,Black
2001_A_Space_Odyssey_770_780_2,Black,Black
2001_A_Space_Odyssey_770_780_2,Black,Black
Amadeus_1205_1215_1,Grey,Black
Amadeus_1205_1215_1,Grey,Grey
Amadeus_1205_1215_1,Grey,Grey
Amadeus_1205_1215_1,Black,Grey
Amadeus_1205_1215_1,Grey,Grey
Amadeus_4474_4484_2,Brown,White
Amadeus_4474_4484_2,Grey,Black
Amadeus_4474_4484_2,Brown,White
Amadeus_4474_4484_2,Brown,White
Amadeus_4474_4484_2,Brown,White
Amadeus_7627_7637_5,Brown,Brown
Amadeus_7627_7637_5,Brown,Brown
Amadeus_7627_7637_5,Brown,Brown
Amadeus_7627_7637_5,Brown,Brown
Amadeus_7627_7637_5,Brown,Brown
Amadeus_8118_8128_4,Grey,Grey
Amadeus_8118_8128_4,Black,Grey
Amadeus_8118_8128_4,Black,Grey
Amadeus_8118_8128_4,Grey,Grey
Amadeus_8118_8128_4,Grey,Grey
Amadeus_8311_8321_6,Black,Black
Amadeus_8311_8321_6,Black,White
Amadeus_8311_8321_6,Black,White
Amadeus_8311_8321_6,Black,Brown
Amadeus_8311_8321_6,Black,Black
Amadeus_8818_8828_7,Black,Black
Amadeus_8818_8828_7,Black,Black
Amadeus_8818_8828_7,Black,Brown
Amadeus_8818_8828_7,Black,Black
Amadeus_8818_8828_7,Black,Brown
Amadeus_9050_9060_3,Black,Black
Amadeus_9050_9060_3,Black,Black
Amadeus_9050_9060_3,Black,Black
Amadeus_9050_9060_3,Black,Black
Amadeus_9050_9060_3,Black,Brown
Armageddon_1977_1987_12,Black,Black
Armageddon_1977_1987_12,Black,White
Armageddon_1977_1987_12,Black,White
Armageddon_1977_1987_12,Black,Grey
Armageddon_1977_1987_12,Black,Black
Armageddon_2692_2702_80,Black,Black
Armageddon_2692_2702_80,Black,Black
Armageddon_2692_2702_80,Black,Black
Armageddon_2692_2702_80,Black,Black
Armageddon_2692_2702_80,Black,Black
Armageddon_3173_3183_9,Black,Black
Armageddon_3173_3183_9,Black,Black
Armageddon_3173_3183_9,Black,Black
Armageddon_3173_3183_9,Black,White
Armageddon_3173_3183_9,Black,Brown
Armageddon_4421_4431_14,Black,Brown
Armageddon_4421_4431_14,Black,Yellow
Armageddon_4421_4431_14,Black,White
Armageddon_4421_4431_14,Orange,Orange
Armageddon_4421_4431_14,Black,Black
Armageddon_4604_4614_10,Black,Black
Armageddon_4604_4614_10,Black,White
Armageddon_4604_4614_10,Black,Black
Armageddon_4604_4614_10,Black,Black
Armageddon_4604_4614_10,Black,Black
Armageddon_5000_5010_11,Blue,Blue
Armageddon_5000_5010_11,White,White
Armageddon_5000_5010_11,White,White
Armageddon_5000_5010_11,Black,White
Armageddon_5000_5010_11,Blue,White
Armageddon_803_813_8,Black,Black
Armageddon_803_813_8,Black,Black
Armageddon_803_813_8,Black,Black
Armageddon_803_813_8,Black,Black
Armageddon_803_813_8,Black,Black
Avengers_-_Age_of_Ultron_2760_2770_2,Black,Black
Avengers_-_Age_of_Ultron_2760_2770_2,Black,Black
Avengers_-_Age_of_Ultron_2760_2770_2,Black,Black
Avengers_-_Age_of_Ultron_2760_2770_2,Black,Black
Avengers_-_Age_of_Ultron_2760_2770_2,Black,Black
Avengers_-_Age_of_Ultron_3014_3024_5,Black,Grey
Avengers_-_Age_of_Ultron_3014_3024_5,Brown,Brown
Avengers_-_Age_of_Ultron_3014_3024_5,Brown,Brown
Avengers_-_Age_of_Ultron_3014_3024_5,Black,Black
Avengers_-_Age_of_Ultron_3014_3024_5,Black,Brown
Avengers_-_Age_of_Ultron_3035_3045_1,Black,Brown
Avengers_-_Age_of_Ultron_3035_3045_1,Black,Brown
Avengers_-_Age_of_Ultron_3035_3045_1,Black,Black
Avengers_-_Age_of_Ultron_3035_3045_1,Brown,Brown
Avengers_-_Age_of_Ultron_3035_3045_1,Black,Brown
Avengers_-_Age_of_Ultron_3111_3121_7,Black,Black
Avengers_-_Age_of_Ultron_3111_3121_7,Black,Black
Avengers_-_Age_of_Ultron_3111_3121_7,Black,Grey
Avengers_-_Age_of_Ultron_3111_3121_7,Black,Black
Avengers_-_Age_of_Ultron_3111_3121_7,Black,Black
Avengers_-_Age_of_Ultron_4743_4753_3,Black,Black
Avengers_-_Age_of_Ultron_4743_4753_3,Black,Grey
Avengers_-_Age_of_Ultron_4743_4753_3,Black,Black
Avengers_-_Age_of_Ultron_4743_4753_3,Black,Black
Avengers_-_Age_of_Ultron_4743_4753_3,Black,Black
Avengers_-_Age_of_Ultron_4788_4798_6,Black,Black
Avengers_-_Age_of_Ultron_4788_4798_6,Black,Black
Avengers_-_Age_of_Ultron_4788_4798_6,Black,Black
Avengers_-_Age_of_Ultron_4788_4798_6,Black,Black
Avengers_-_Age_of_Ultron_4788_4798_6,Black,Black
Avengers_-_Age_of_Ultron_4874_4884_4,Grey,Grey
Avengers_-_Age_of_Ultron_4874_4884_4,Grey,Grey
Avengers_-_Age_of_Ultron_4874_4884_4,White,Grey
Avengers_-_Age_of_Ultron_4874_4884_4,Grey,Grey
Avengers_-_Age_of_Ultron_4874_4884_4,Grey,Black
A_History_Of_Violence_1376_1386_13,Black,Black
A_History_Of_Violence_1376_1386_13,Black,Black
A_History_Of_Violence_1376_1386_13,Black,Black
A_History_Of_Violence_1376_1386_13,Black,Grey
A_History_Of_Violence_1376_1386_13,Black,Black
A_History_Of_Violence_1693_1703_14,Black,Black
A_History_Of_Violence_1693_1703_14,Grey,Grey
A_History_Of_Violence_1693_1703_14,Black,Grey
A_History_Of_Violence_1693_1703_14,Black,Black
A_History_Of_Violence_1693_1703_14,Black,Grey
A_History_Of_Violence_1910_1920_11,Grey,Grey
A_History_Of_Violence_1910_1920_11,Grey,Grey
A_History_Of_Violence_1910_1920_11,Grey,Grey
A_History_Of_Violence_1910_1920_11,Grey,Grey
A_History_Of_Violence_1910_1920_11,Grey,Grey
A_History_Of_Violence_2585_2595_12,Brown,Brown
A_History_Of_Violence_2585_2595_12,Brown,Brown
A_History_Of_Violence_2585_2595_12,Grey,Grey
A_History_Of_Violence_2585_2595_12,Grey,Grey
A_History_Of_Violence_2585_2595_12,Grey,Grey
A_History_Of_Violence_267_277_9,Brown,Brown
A_History_Of_Violence_267_277_9,Brown,Brown
A_History_Of_Violence_267_277_9,Brown,Black
A_History_Of_Violence_267_277_9,Brown,Brown
A_History_Of_Violence_267_277_9,Brown,Black
A_History_Of_Violence_473_483_10,Black,White
A_History_Of_Violence_473_483_10,Black,White
A_History_Of_Violence_473_483_10,Black,White
A_History_Of_Violence_473_483_10,Black,White
A_History_Of_Violence_473_483_10,Black,White
A_History_Of_Violence_640_650_8,Green,White
A_History_Of_Violence_640_650_8,Black,Blue
A_History_Of_Violence_640_650_8,Black,Blue
A_History_Of_Violence_640_650_8,Green,White
A_History_Of_Violence_640_650_8,Black,Blue
Back_To_The_Future_203_213_7,Brown,White
Back_To_The_Future_203_213_7,Black,Grey
Back_To_The_Future_203_213_7,Black,Black
Back_To_The_Future_203_213_7,Brown,Black
Back_To_The_Future_203_213_7,Black,Black
Back_To_The_Future_2325_2335_5,Black,Brown
Back_To_The_Future_2325_2335_5,Grey,Grey
Back_To_The_Future_2325_2335_5,Grey,Grey
Back_To_The_Future_2325_2335_5,Grey,Grey
Back_To_The_Future_2325_2335_5,Black,Brown
Back_To_The_Future_3648_3658_6,Grey,Grey
Back_To_The_Future_3648_3658_6,Grey,Grey
Back_To_The_Future_3648_3658_6,Grey,Grey
Back_To_The_Future_3648_3658_6,Grey,Grey
Back_To_The_Future_3648_3658_6,Black,Black
Back_To_The_Future_4266_4276_3,Grey,Grey
Back_To_The_Future_4266_4276_3,Black,Black
Back_To_The_Future_4266_4276_3,Black,Black
Back_To_The_Future_4266_4276_3,Black,Black
Back_To_The_Future_4266_4276_3,Black,Black
Back_To_The_Future_4494_4504_1,Black,Black
Back_To_The_Future_4494_4504_1,Black,Black
Back_To_The_Future_4494_4504_1,Black,Black
Back_To_The_Future_4494_4504_1,Black,Black
Back_To_The_Future_4494_4504_1,Black,Black
Back_To_The_Future_4514_4524_2,Black,Black
Back_To_The_Future_4514_4524_2,Black,Black
Back_To_The_Future_4514_4524_2,Black,Grey
Back_To_The_Future_4514_4524_2,Black,Black
Back_To_The_Future_4514_4524_2,Black,Black
Back_To_The_Future_4968_4978_4,Black,Black
Back_To_The_Future_4968_4978_4,Black,Black
Back_To_The_Future_4968_4978_4,Black,Black
Back_To_The_Future_4968_4978_4,Black,Grey
Back_To_The_Future_4968_4978_4,Black,Black
Basic_Instinct_1262_1272_24,Black,Black
Basic_Instinct_1262_1272_24,Black,Black
Basic_Instinct_1262_1272_24,Black,Black
Basic_Instinct_1262_1272_24,Black,Black
Basic_Instinct_1262_1272_24,Black,Black
Basic_Instinct_1508_1518_28,Black,Black
Basic_Instinct_1508_1518_28,Black,Black
Basic_Instinct_1508_1518_28,Black,Black
Basic_Instinct_1508_1518_28,Black,Black
Basic_Instinct_1508_1518_28,Black,Black
Basic_Instinct_1655_1665_27,Black,Black
Basic_Instinct_1655_1665_27,Black,Black
Basic_Instinct_1655_1665_27,Black,Black
Basic_Instinct_1655_1665_27,Black,Black
Basic_Instinct_1655_1665_27,Black,Black
Basic_Instinct_2505_2515_25,Black,Black
Basic_Instinct_2505_2515_25,Black,Black
Basic_Instinct_2505_2515_25,Black,Black
Basic_Instinct_2505_2515_25,Black,Black
Basic_Instinct_2505_2515_25,Black,Black
Basic_Instinct_4896_4906_26,Black,Black
Basic_Instinct_4896_4906_26,Black,Black
Basic_Instinct_4896_4906_26,Black,Black
Basic_Instinct_4896_4906_26,Black,Black
Basic_Instinct_4896_4906_26,Black,Black
Basic_Instinct_5821_5831_22,Black,Black
Basic_Instinct_5821_5831_22,Black,Black
Basic_Instinct_5821_5831_22,Black,Grey
