TEXTO,SECTOR,MARCA,CANAL,AWARENESS,EVALUATION,PURCHASE,POSTPURCHASE,NC2
#tablondeanuncios Funda nordica ikea #madrid https://t.co/9TvaZSa1De https://t.co/J3bC6t6C9u,RETAIL,IKEA,Microblog,0,0,0,0,1
#tr Me ofrezco para montar muebles de Ikea - Has organizado un plan con amigos pero no encuentras quién se qued... https://t.co/I5cEI3OQvU,RETAIL,IKEA,Microblog,0,0,0,0,1
"#VozPópuli Vozpópuli @voz_populi - #LoMásLeidoHoy Mercadona, DIA o Alcampo guardan silencio ante la ola europea... https://t.co/aJTuA4J9UV",RETAIL,ALCAMPO,Microblog,0,0,0,0,1
"#ZonaTecno Destacado: Todo lo que hay que saber sobre la panga, el pescado que Carrefour se niega a co… … https://t.co/rpBAgDNiTv",RETAIL,CARREFOUR,Microblog,0,0,0,0,1
$Carrefour retira pez #Panga. OCU y grupos x #CompraPública en #ComedoresEscolares con crit. de… https://t.co/hjCDVHmame,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
. @PoliciadeBurgos @PCivilBurgos @Aytoburgos Mismo peligro c/ Rio Viejo junto Mercadona Villimar,RETAIL,MERCADONA,Microblog,0,0,0,0,1
".@alcampo, el #supermercadoOnline más barato en #España https://t.co/UiMkpaRSVs vía @DIRyGE #precios #eCommerce #compraOnline #alimentación",RETAIL,ALCAMPO,Microblog,0,0,0,0,1
.@LachozadeBambu La psicología social es sentirse mal por comprar en mercadona mientras escuchas en la cola que el gluten engorda.,RETAIL,MERCADONA,Microblog,0,0,0,0,1
".@rodrigodesalas ""Lo mejor de Leroy Merlin es la gente, el valor real de nuestra empresa está ahí""… https://t.co/b6BylAQqgM",RETAIL,LEROY MERLIN,Microblog,0,0,0,0,1
".@Warriorlion5 @Yokai_Watch_ES 35€ más bien. En Alcampo y Carrefour estarán a ese precio y en verano y poco después bajará, como siempre ;)",RETAIL,CARREFOUR,Microblog,0,0,0,0,0
"@_caspitas del mercadona, sin lactosa. :P",RETAIL,MERCADONA,Microblog,0,0,0,0,0
@_Queque_ no puedes dejar la sección el castellano. Ikea te necesita a tí @ohmylol #LaVidaModerna https://t.co/bbUzoVxKEA,RETAIL,IKEA,Microblog,0,0,0,0,1
"@40Andaya #andaya50sombras #50sombrasMasOscuras los algodones desmaquillantes del mercadona, esa escena es mitica",RETAIL,MERCADONA,Microblog,0,0,0,0,1
@aburciom hoy en el Ikea había unas de corazones con iluminación roja para crear ambiente pero Ada no ha querido.,RETAIL,IKEA,Microblog,0,1,0,0,0
"@acasualgirl vicky estoy sad

no he dormido

he venido a clase

pasé por el mercadona pa comprar algo

estaba cerrado

kill me",RETAIL,MERCADONA,Microblog,0,0,0,0,0
@AdaDeLarge ninguna. Una lampara cebolla del ikea. https://t.co/iqhvm49Wyv,RETAIL,IKEA,Microblog,0,0,0,0,1
"@AdrianRaluyGH Pues nada, Ikea, Conforama, Tuco, Mueblesrey, Leroy Merlín etc patrocinadores oficiales de GHVIP5 xD

#VIPDirecto",RETAIL,IKEA,Microblog,0,0,0,0,1
@aibeltranmoreno @ExpositoCOPE podemos = A blablablablablabla...abuelita..leños.. Ikea..sonrisa pais..fratelo.. y mas blablablablanlabla...,RETAIL,IKEA,Microblog,0,0,0,0,1
@Ailendossantos1 teniamos que estar al pedo como para ir al carrefour jaja,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
"@Albaricoqueee96 @AlbayAmanecer_ lo siento no hablo choni, no te entiendo bien, ""skribi"" es un mueble de Ikea?",RETAIL,IKEA,Microblog,0,0,0,0,1
@AlbbaBernet Suenas a negro del mercadona,RETAIL,MERCADONA,Microblog,0,0,0,0,1
@albita_alonso @Eva_Arr ah por eso no quedaba ni un solo fuet en el mercadona,RETAIL,MERCADONA,Microblog,0,0,0,0,1
@alcampo en Alcampo La Cañada en Marbella 😢,RETAIL,ALCAMPO,Microblog,0,0,0,0,1
@alcampo Hola me gustaría saber los gastos de envío de la compra on line y si hay algún cupon o descuento para una buena compra,RETAIL,ALCAMPO,Microblog,0,1,0,0,0
@alcampo Hola! Ya no tenéis a la venta los berberechos de vuestra marca? Nunca los encuentro 😕,RETAIL,ALCAMPO,Microblog,0,1,0,0,0
"@alcampo Menos en Sevilla Este. Por qué? Me negaron la devolución de un libro, que era para un regalo. Hay una reclamación puesta.",RETAIL,ALCAMPO,Microblog,0,0,0,1,0
@AlejandroSD96 @Mercadona en serio? JEJEJE,RETAIL,MERCADONA,Microblog,0,0,0,0,1
"@AlejandroSD96 Buenas tardes Alejandro, ¿en qué Mercadona y cuándo lo has observado?. Un saludo.",RETAIL,MERCADONA,Microblog,0,0,0,0,1
@aliciaqgomiz gracias mercadona por concedernos este regalo de los dioses!,RETAIL,MERCADONA,Microblog,0,0,0,0,1
"@anchoasosa como sea como el del Ikea, sigue virgen seguro",RETAIL,IKEA,Microblog,0,0,0,0,1
"@AndreaLugo_98 por eso se que esa mujer iba con un letrero en la frente que ponía ""resaquita de botella de mercadona""",RETAIL,MERCADONA,Microblog,0,0,0,0,1
@angelmoraviles @AbeInfanzon me gusta hasta el armario en si. Ahora solo tenemos empotrados o del ikea,RETAIL,IKEA,Microblog,0,0,0,0,1
"@angelpina23 @visitpanama hasta que no vea al CM de @alcampo anunciando que venden rukas...
😂😂😂",RETAIL,ALCAMPO,Microblog,0,0,0,0,1
@AntCpda está en @mercadona pero no recuerdo la marca en concreto. De todas formas la pastelería de cualquier supermercado es igual.,RETAIL,MERCADONA,Microblog,0,0,0,1,0
@Anthromet y los sueltan en el decathlon....,RETAIL,DECATHLON,Microblog,0,0,0,0,1
@AntonioMaestre por éso @InesArrimadas compra la ropa en Alcampo😥,RETAIL,ALCAMPO,Microblog,0,0,0,0,1
"@Apnita_ SIiiiiiiiiii, fuera IRMA que es un mueble del Ikea.",RETAIL,IKEA,Microblog,0,0,0,0,1
"@Audiense_es como un equipo, y nuestros dorsales? ;) @InmaFerragud @kurioso @KrITIK4L @Zurdo @Mercadona @PlayStationES @SonyEspana",RETAIL,MERCADONA,Microblog,0,0,0,0,1
