,TEXTO,SECTOR
0,# tablondeanuncios Funda nordica # madrid,RETAIL
1,ofrecer montar mueble organizar amigo encontrar quien,RETAIL
2,# VozPopuli Vozpopuli # LoMasLeidoHoy Mercadona Alcampo guardar silenciar europeo,RETAIL
3,# ZonaTecno Destacado saber panga pescar Carrefour negar,RETAIL
4,Carrefour retirar # Panga grupo # CompraPublica # ComedoresEscolares,RETAIL
5,Mismo peligrar Viejo juntar Mercadona Villimar,RETAIL
6,# supermercadoOnline barato # Espana # precio # eCommerce # compraOnline # alimentacion,RETAIL
7,psicologia social sentirse comprar mercadona mientras escuchar gluten engordar,RETAIL
8,mejor Leroy Merlin gente valor empresa,RETAIL
9,Alcampo Carrefour preciar verano despues bajar siempre,RETAIL
10,mercadona lactosa,RETAIL
11,poder dejar seccion castellano necesitar # LaVidaModerna,RETAIL
12,# andaya50sombras # 50sombrasMasOscuras algodonar desmaquillantes mercadona escena mitica,RETAIL
13,corazón iluminacion crear ambientar querer,RETAIL
14,vicky dormir venir clase mercadona comprar cerrar,RETAIL
15,ninguno lampara cebolla,RETAIL
16,Conforama Mueblesrey Leroy Merlin patrocinador oficial GHVIP # VIPDirecto,RETAIL
17,poder blablablablablabla abuelita lenos sonrisa fratelo blablablablanlabla,RETAIL
18,teniamos carrefour,RETAIL
19,sentir hablar choni entender skribi moblar,RETAIL
20,Suenas negro mercadona,RETAIL
21,quedar mercadona,RETAIL
22,Alcampo Canada Marbella,RETAIL
23,gustaria saber gasto envio comprar algun cupon descontar bueno comprar,RETAIL
24,venta berberecho marcar Nunca encontrar,RETAIL
25,Menos Sevilla negar devolucion librar regalar reclamacion poner,RETAIL
26,seriar JEJEJE,RETAIL
27,Buenas tarde Alejandro Mercadona cuando observar saludar,RETAIL
28,gracia mercadona concedernos regalar dios,RETAIL
29,seguir virgen seguro,RETAIL
30,mujer letrero frente ponia resaquita botella mercadona,RETAIL
31,gustar armario Ahora empotrar,RETAIL
32,anunciar vender rukas,RETAIL
33,recordar marcar concretar todo formar pasteleria cualquiera supermercado igual,RETAIL
34,soltar decathlon,RETAIL
35,comprar Alcampo,RETAIL
36,SIiii moblar,RETAIL
37,equipar dorsal,RETAIL
38,enganas cambiar habitación,RETAIL
39,Genil frente Leroy Merlin,RETAIL
40,leroy merlin ejemplo calentar muuucho secar tirar menos herramienta grabar mediante calor,RETAIL
41,panga probe exactamente Denia comprar Mercadona nunca # Dato,RETAIL
42,esque visualmente IGUAL vender mercadona,RETAIL
43,Estan rebajar MEDIAMARKT,RETAIL
44,cabrón vengais seccion banos Leroy merlin,RETAIL
45,podriais tomar,RETAIL
46,sintonia mercadona,RETAIL
47,bolsa congelar mercadona noquis pollo verdura luego pimiento relleno carne Estan buenisimos,RETAIL
48,mercadona queso normal chutar pequenitas,RETAIL
